temperature,humidity,rainfall,wind_speed,crop_type,soil_type,area_acres,days_since_last_irrigation,prev_water_litres,irrigation_needed,crop_stress,recommended_water_l_m2
27.1,92.0,0.0,22.7,Banana,Sandy,1.98,7,372,1,Medium,21.4
33.5,36.2,0.0,21.3,Vegetables,Chalky,0.51,4,160,1,High,19.2
30.0,60.9,0.0,16.6,Tea,Sandy,0.94,2,363,0,Medium,0.0
29.8,70.5,0.0,24.6,Tea,Peat,4.78,1,387,0,Medium,0.0
37.9,68.8,0.0,11.3,Banana,Sandy,7.0,6,427,1,High,25.0
20.7,89.6,2.5,8.4,Pepper,Sandy,4.54,5,105,1,Medium,15.3
20.6,85.5,2.5,26.5,Vegetables,Silty,6.18,7,461,1,Medium,14.8
20.9,54.5,60.0,21.9,Tea,Peat,6.07,8,251,0,Low,0.0
31.5,51.6,8.0,23.3,Paddy,Clay,9.88,7,128,0,Medium,0.0
23.8,35.3,0.0,8.8,Coffee,Loam,8.01,4,489,1,High,11.4
22.2,86.8,60.0,14.8,Paddy,Chalky,3.59,2,171,0,Low,0.0
32.1,88.2,0.0,13.2,Tea,Chalky,8.56,4,217,1,High,10.9
24.9,37.4,35.0,14.3,Coconut,Silty,1.52,6,240,0,Low,0.0
26.0,65.5,15.0,7.3,Tea,Peat,5.63,3,12,0,Low,0.0
21.5,52.4,15.0,25.1,Coconut,Peat,3.31,4,133,0,Low,0.0
28.7,48.1,2.5,25.4,Rubber,Sandy,1.66,8,230,1,High,16.6
25.2,73.9,0.0,23.6,Paddy,Loam,0.57,7,410,1,Medium,17.7
24.2,42.2,2.5,9.9,Rubber,Chalky,2.58,7,232,1,High,11.6
21.2,50.2,2.5,10.0,Coconut,Loam,3.36,0,439,1,Medium,10.1
31.6,65.2,15.0,4.8,Coffee,Clay,6.53,1,52,0,Low,0.0
29.3,94.1,60.0,18.2,Tea,Loam,4.01,0,254,0,Low,0.0
35.3,63.2,0.0,19.2,Rubber,Clay,1.93,5,463,1,High,14.2
31.2,75.7,0.0,21.1,Tea,Loam,3.81,6,307,1,High,13.8
27.6,66.1,60.0,7.3,Pepper,Clay,1.58,6,414,0,Low,0.0
36.7,50.5,2.5,8.2,Coffee,Clay,5.41,0,1,1,High,18.0
38.3,68.5,60.0,19.2,Paddy,Clay,3.82,2,403,0,Low,0.0
36.9,81.8,60.0,24.4,Paddy,Silty,9.04,3,253,0,Low,0.0
20.2,41.1,0.0,27.4,Coconut,Chalky,5.71,5,162,1,High,12.6
24.3,77.7,0.0,15.9,Coffee,Silty,3.98,7,134,1,Medium,12.9
25.9,67.6,0.0,12.8,Tea,Chalky,2.82,5,229,1,Medium,11.6
36.9,72.9,0.0,12.4,Paddy,Silty,6.85,0,452,1,Medium,20.9
29.5,69.3,60.0,19.5,Paddy,Silty,9.43,4,5,0,Low,0.0
27.0,35.9,60.0,11.9,Vegetables,Peat,5.94,0,115,0,Low,0.0
25.6,58.1,35.0,10.4,Rubber,Sandy,5.79,5,57,0,Low,0.0
37.7,39.2,0.0,18.8,Vegetables,Sandy,2.91,9,385,1,High,22.3
36.1,43.2,15.0,12.6,Banana,Sandy,8.19,2,305,0,Low,0.0
36.5,89.8,0.0,4.1,Pepper,Peat,2.35,7,493,1,High,17.2
36.9,55.3,2.5,17.9,Coffee,Chalky,3.62,9,62,1,High,17.9
35.9,86.6,0.0,4.9,Vegetables,Chalky,5.6,4,480,1,High,21.3
25.2,92.9,35.0,6.0,Banana,Silty,4.41,2,310,0,Low,0.0
22.6,43.0,0.0,16.4,Vegetables,Loam,8.05,2,91,1,Medium,17.0
24.8,46.1,15.0,24.1,Paddy,Silty,4.39,9,121,0,Low,0.0
23.0,50.0,15.0,6.3,Paddy,Peat,3.16,6,191,0,Low,0.0
30.5,71.7,35.0,5.1,Coconut,Loam,7.7,8,284,0,Low,0.0
22.2,37.8,0.0,11.5,Vegetables,Silty,2.17,9,473,1,High,16.0
29.0,45.4,15.0,19.6,Coconut,Sandy,9.52,3,289,0,Low,0.0
25.0,35.9,0.0,16.1,Paddy,Peat,7.0,7,335,1,High,18.6
20.5,70.1,0.0,23.2,Pepper,Sandy,5.95,0,416,0,Medium,0.0
